ticker,cohort,cik,title
CRWD,cybersecurity,0001535527,"CrowdStrike Holdings, Inc."
FTNT,cybersecurity,0001262039,"Fortinet, Inc."
OKTA,cybersecurity,0001660134,"Okta, Inc."
PANW,cybersecurity,0001327567,Palo Alto Networks Inc
ZS,cybersecurity,0001713683,"Zscaler, Inc."
AAPL,big_tech,0000320193,Apple Inc.
AMZN,big_tech,0001018724,AMAZON COM INC
GOOGL,big_tech,0001652044,Alphabet Inc.
META,big_tech,0001326801,"Meta Platforms, Inc."
MSFT,big_tech,0000789019,MICROSOFT CORP
